Mes,Año,Empresa,Tarifa,Abonados,Ventas,"Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG",Trimestre,Sistema,Trimestral
"Diciembre ",2023,"TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL",0,708539032.11,33701327457.09,33701327457.09,47.56,47.56,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,ESPH,Residencial,82989,20945356,1661018000,1661018000,79.3,79.3,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,"Ventas a ICE distribución y a la CNFL",0,426015436.11,20048383774.33,20048383774.33,47.06,47.06,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,"Usuarios Directos","Usuarios Directos",16,42225421,1441366000,1441366000,34.14,34.14,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL","Residencial horaria",7987,4152408,309201486.75,309201486.75,74.46,74.46,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,"Residencial horaria",2,957,98286.75,98286.75,102.7,102.7,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,"Residencial horaria",7985,4151451,309103200,309103200,74.46,74.46,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL",Residencial,1706259,366193714.26,30828354900,30828344900,84.19,84.19,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,JASEC,Residencial,93312,22332832,1646102000,1646102000,73.71,73.71,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,"Ventas a ICE distribución y a la CNFL",0,282523596,13652943682.76,13652943682.76,48.32,48.32,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,JASEC,"Ventas al servicio de Distribución",0,46375955,2204009785.87,2204009785.87,47.52,47.52,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,COOPELESCA,"Media tensión b",9,5330135.64,369431100,369431100,69.31,69.31,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL","Media tensión a",823,88466332.5,6570979440,6570979440,74.28,74.28,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ESPH,"Comercios y servicios",11430,16512419,1369324600,1369324600,82.93,82.93,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPESANTOS,"Comercios y servicios",3857,1993412.33,309556390,309556390,155.29,155.29,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPELESCA,"Comercios y servicios",14065,17472681.84,1677747200,1677747200,96.02,96.02,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPEGUANACASTE,"Comercios y servicios",17010,23185114.16,2146438900,2146438900,92.58,92.58,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPEALFARORUIZ,"Comercios y servicios",1227,395691,39500200,39500200,99.83,99.83,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,"Comercios y servicios",74346,93667698.65,10386748000,10386744000,110.89,110.89,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,"Comercios y servicios",106655,85807813,9216475286.75,9216475286.75,107.41,107.41,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL","Alumbrado Público",0,22075945.53,1263010907.24,1263010907.24,57.21,57.21,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,"Alumbrado Público",0,12672704.52,735442959.51,735442959.51,58.03,58.03,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ESPH,"Alumbrado Público",0,649240.6,35844573.53,35844573.53,55.21,55.21,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPESANTOS,"Alumbrado Público",0,374473,19937016.95,19937016.95,53.24,53.24,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPELESCA,"Alumbrado Público",0,861162.73,44914803.5,44914803.5,52.16,52.16,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPEGUANACASTE,"Alumbrado Público",0,750287.61,41483401.96,41483401.96,55.29,55.29,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPEALFARORUIZ,"Alumbrado Público",0,33589.33,1734888.67,1734888.67,51.65,51.65,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,JASEC,"Alumbrado Público",0,1267008.45,70762933.06,70762933.06,55.85,55.85,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,"Media tensión b",104,22396720,1480302000,1480302000,66.09,66.09,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,JASEC,"Comercios y servicios",14346,12971321,1209913100,1209913100,93.28,93.28,"IV Trimestre",Distribucion,"2023 4"
